Evento,Fecha,HoraUTC,HoraLocal,Latitud,Longitud,Profundidad,Magnitud,Tipo_Magnitud,Intensidad,Localizacion,Imagen
es2021twqvz,10/10/2021,17:13:54,18:13:54,28.5643,-17.8286,11,3.2,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021twouc,10/10/2021,16:10:53,17:10:53,28.5629,-17.8394,11,3.1,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021twiye,10/10/2021,13:13:48,14:13:48,28.5672,-17.8351,13,3.3,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021twird,10/10/2021,13:05:40,14:05:40,28.5639,-17.8420,38,4.0,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021twhkh,10/10/2021,12:27:20,13:27:20,28.6292,-17.7921,37,3.0,mbLg,II,SW BREÑA BAJA.ILP,NA
es2021twgij,10/10/2021,11:54:46,12:54:46,28.5744,-17.8193,37,4.1,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021twcmv,10/10/2021,09:58:54,11:58:54,37.9119,-1.0877,10,2.3,mbLg,III,SE MURCIA.MU,NA
es2021twbkt,10/10/2021,09:26:27,10:26:27,28.5820,-17.8182,37,3.7,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021tvsez,10/10/2021,04:46:31,05:46:31,28.5637,-17.8375,14,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvmpw,10/10/2021,01:57:22,02:57:22,28.5603,-17.8118,34,3.8,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tviuk,10/10/2021,00:01:25,01:01:25,28.5533,-17.8387,14,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvdwj,09/10/2021,21:32:11,22:32:11,28.5625,-17.8485,11,3.2,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tvcqg,09/10/2021,20:54:45,21:54:45,28.5571,-17.8332,11,3.6,mbLg,IV,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvbsx,09/10/2021,20:27:30,21:27:30,28.5509,-17.8210,36,3.8,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvazs,09/10/2021,20:05:35,21:05:35,28.5618,-17.8758,37,3.9,mbLg,III,NW FUENCALIENTE DE LA PALMA.IL,NA
es2021tuvxf,09/10/2021,17:30:42,18:30:42,28.5680,-17.8428,11,3.5,mbLg,II-III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tuvwi,09/10/2021,17:29:39,18:29:39,28.5675,-17.8505,38,3.1,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tuthy,09/10/2021,16:12:17,17:12:17,28.5845,-17.7951,40,3.6,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021turyx,09/10/2021,15:31:28,16:31:28,28.5568,-17.8417,13,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tuqgj,09/10/2021,14:39:49,15:39:49,28.5696,-17.8340,13,3.6,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tuidf,09/10/2021,10:33:36,11:33:36,28.5685,-17.8370,12,3.6,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tufzs,09/10/2021,09:28:42,10:28:42,28.5872,-17.7969,31,3.8,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tudkx,09/10/2021,08:10:48,09:10:48,28.5734,-17.8316,11,3.4,mbLg,III-IV,SW VILLA DE MAZO.ILP,NA
es2021tuaat,09/10/2021,06:28:20,07:28:20,28.5548,-17.8426,11,3.2,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
