Evento,Fecha,Hora UTC,Hora Local(*),Latitud,Longitud,Profundidad(km),Magnitud,Tipo Mag.,Int. max.,Localización,Más Info
es2021udpvr,2021-10-14,1900-01-01 12:38:59,1900-01-01 13:38:59,28.5704,-17.8295,37.0,3.8,mbLg,Sentido,SW VILLA DE MAZO.ILP,
es2021uczuq,2021-10-14,1900-01-01 04:32:51,1900-01-01 05:32:51,28.559,-17.8347,10.0,3.6,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,
es2021uctrv,2021-10-14,1900-01-01 01:27:59,1900-01-01 02:27:59,28.5871,-17.8131,37.0,4.5,mbLg,IV,SW VILLA DE MAZO.ILP,
es2021uctrz,2021-10-14,1900-01-01 01:27:56,1900-01-01 02:27:56,28.5772,-17.8496,37.0,4.2,mbLg,,SW VILLA DE MAZO.ILP,
es2021ubycu,2021-10-13,1900-01-01 14:33:48,1900-01-01 15:33:48,28.5751,-17.8192,36.0,4.4,mbLg,III-IV,SW VILLA DE MAZO.ILP,
es2021uboif,2021-10-13,1900-01-01 09:37:01,1900-01-01 10:37:01,28.5564,-17.8358,13.0,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,
es2021ubbyq,2021-10-13,1900-01-01 03:22:09,1900-01-01 04:22:09,28.5774,-17.826,37.0,3.9,mbLg,III-IV,SW VILLA DE MAZO.ILP,
es2021uamwo,2021-10-12,1900-01-01 19:45:08,1900-01-01 20:45:08,28.5918,-17.8245,38.0,3.6,mbLg,,W VILLA DE MAZO.ILP,
es2021uafex,2021-10-12,1900-01-01 15:52:20,1900-01-01 16:52:20,28.5719,-17.8242,38.0,3.8,mbLg,III,SW VILLA DE MAZO.ILP,
es2021tzols,2021-10-12,1900-01-01 07:25:05,1900-01-01 08:25:05,28.5745,-17.8228,37.0,4.1,mbLg,III-IV,SW VILLA DE MAZO.ILP,
es2021tzoeq,2021-10-12,1900-01-01 07:16:50,1900-01-01 08:16:50,28.5611,-17.8351,13.0,3.7,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL,
es2021tzfkj,2021-10-12,1900-01-01 02:50:47,1900-01-01 04:50:47,38.2005,-1.1328,2.0,3.4,mbLg,III-IV,NW FORTUNA.MU,
es2021tzcul,2021-10-12,1900-01-01 01:31:35,1900-01-01 02:31:35,28.5555,-17.8341,13.0,3.7,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL,
es2021tyvdc,2021-10-11,1900-01-01 21:39:13,1900-01-01 22:39:13,28.5559,-17.8385,13.0,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,
es2021tytiy,2021-10-11,1900-01-01 20:45:25,1900-01-01 22:45:25,42.8111,-1.4938,,4.1,Mw,III-IV,NW LIZOÁIN-ARRIASGOITI.NA,
es2021tycsd,2021-10-11,1900-01-01 12:20:53,1900-01-01 13:20:53,28.5625,-17.8344,14.0,3.6,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL,
es2021txuwg,2021-10-11,1900-01-01 08:23:15,1900-01-01 10:23:15,42.5182,1.4525,,3.9,mbLg,III,E ALINS.L,
es2021twzvu,2021-10-10,1900-01-01 21:46:27,1900-01-01 22:46:27,28.5856,-17.8256,38.0,4.3,mbLg,III-IV,SW VILLA DE MAZO.ILP,
es2021twird,2021-10-10,1900-01-01 13:05:40,1900-01-01 14:05:40,28.5639,-17.842,38.0,4.0,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,
es2021twgij,2021-10-10,1900-01-01 11:54:46,1900-01-01 12:54:46,28.5762,-17.8203,37.0,4.1,mbLg,III,SW VILLA DE MAZO.ILP,
es2021twbkt,2021-10-10,1900-01-01 09:26:27,1900-01-01 10:26:27,28.582,-17.8182,37.0,3.7,mbLg,II-III,SW VILLA DE MAZO.ILP,
es2021tvmpw,2021-10-10,1900-01-01 01:57:22,1900-01-01 02:57:22,28.5603,-17.8118,34.0,3.8,mbLg,III,SW VILLA DE MAZO.ILP,
