Evento,Fecha,Hora UTC,Hora Local(*),Latitud,Longitud,Profundidad(km),Magnitud,Tipo Mag.,Int. max.,Localizacion
es2021uizid,17/10/2021,11:06:12,12:06:12,28.5674,-17.8114,35,4.0,mbLg,IV,SW VILLA DE MAZO.ILP
es2021uijqg,17/10/2021,03:10:47,04:10:47,28.5857,-17.8006,35,4.3,mbLg,IV,SW VILLA DE MAZO.ILP
es2021uhhbe,16/10/2021,12:44:34,13:44:34,28.5480,-17.8400,35,3.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021ugtxs,16/10/2021,06:07:02,07:07:02,28.5843,-17.8175,34,4.5,mbLg,IV-V,SW VILLA DE MAZO.ILP
es2021ugtyc,16/10/2021,06:07:00,07:07:00,28.5659,-17.8296,37,4.3,mbLg,,SW VILLA DE MAZO.ILP
es2021ugrcy,16/10/2021,04:41:53,05:41:53,28.5623,-17.8283,37,4.6,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021ufzzy,15/10/2021,20:03:01,21:03:01,28.5552,-17.8384,13,4.0,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL
es2021ufvnw,15/10/2021,17:47:42,18:47:42,28.5615,-17.8398,13,4.0,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL
es2021ufvit,15/10/2021,17:41:45,19:41:45,38.1830,-1.1477,3,3.6,mbLg,III-IV,W FORTUNA.MU
es2021ufhsh,15/10/2021,10:48:31,11:48:31,28.5808,-17.8160,38,4.1,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021ufagf,15/10/2021,07:02:19,08:02:19,28.5760,-17.8228,36,4.5,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021uereg,15/10/2021,02:27:17,03:27:17,28.5656,-17.8322,35,4.0,mbLg,III,SW VILLA DE MAZO.ILP
es2021udpvr,14/10/2021,12:38:59,13:38:59,28.5704,-17.8295,37,3.8,mbLg,II,SW VILLA DE MAZO.ILP
es2021uczuq,14/10/2021,04:32:51,05:32:51,28.5590,-17.8347,10,3.6,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL
es2021uctrv,14/10/2021,01:27:59,02:27:59,28.5871,-17.8131,37,4.5,mbLg,IV,SW VILLA DE MAZO.ILP
es2021uctrz,14/10/2021,01:27:56,02:27:56,28.5772,-17.8496,37,4.2,mbLg,,SW VILLA DE MAZO.ILP
es2021ubycu,13/10/2021,14:33:48,15:33:48,28.5751,-17.8192,36,4.4,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021uboif,13/10/2021,09:37:01,10:37:01,28.5564,-17.8358,13,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021ubbyq,13/10/2021,03:22:09,04:22:09,28.5774,-17.8260,37,3.9,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021uamwo,12/10/2021,19:45:08,20:45:08,28.5918,-17.8245,38,3.6,mbLg,II-III,W VILLA DE MAZO.ILP
es2021uafex,12/10/2021,15:52:20,16:52:20,28.5719,-17.8242,38,3.8,mbLg,III,SW VILLA DE MAZO.ILP
es2021tzols,12/10/2021,07:25:05,08:25:05,28.5745,-17.8228,37,4.1,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021tzoeq,12/10/2021,07:16:50,08:16:50,28.5611,-17.8351,13,3.7,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL
es2021tzfkj,12/10/2021,02:50:47,04:50:47,38.2005,-1.1328,2,3.4,mbLg,III-IV,NW FORTUNA.MU
es2021tzcul,12/10/2021,01:31:35,02:31:35,28.5555,-17.8341,13,3.7,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021tyvdc,11/10/2021,21:39:13,22:39:13,28.5559,-17.8385,13,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021tytiy,11/10/2021,20:45:25,22:45:25,42.8111,-1.4938, ,4.1,Mw,III-IV,NW LIZOÁIN-ARRIASGOITI.NA
es2021tycsd,11/10/2021,12:20:53,13:20:53,28.5625,-17.8344,14,3.6,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL
es2021txuwg,11/10/2021,08:23:15,10:23:15,42.5182,1.4525, ,3.9,mbLg,III,E ALINS.L
es2021twzvu,10/10/2021,21:46:27,22:46:27,28.5856,-17.8256,38,4.3,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021twird,10/10/2021,13:05:40,14:05:40,28.5639,-17.8420,38,4.0,mbLg,II-III,N FUENCALIENTE DE LA PALMA.ILP
es2021twgij,10/10/2021,11:54:46,12:54:46,28.5762,-17.8203,37,4.1,mbLg,II-III,SW VILLA DE MAZO.ILP
es2021twbkt,10/10/2021,09:26:27,10:26:27,28.5820,-17.8182,37,3.7,mbLg,II-III,SW VILLA DE MAZO.ILP
