Evento,Fecha,Hora UTC,Hora Local(*),Latitud,Longitud,Profundidad(km),Magnitud,Tipo Mag.,Int. max.,Localizacion
es2021vcgvf,28/10/2021,00:25:49,01:25:49,28.5618,-17.8212,12,3.5,mbLg,IV,SW VILLA DE MAZO.ILP
es2021vchbn,28/10/2021,00:32:47,01:32:47,28.5655,-17.8347,10,2.5,mbLg,,SW VILLA DE MAZO.ILP
es2021vchez,28/10/2021,00:36:51,01:36:51,28.5584,-17.8321,10,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchhp,28/10/2021,00:39:54,01:39:54,28.5609,-17.8252,10,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vchqq,28/10/2021,00:50:29,01:50:29,28.5603,-17.8414,10,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchso,28/10/2021,00:52:39,01:52:39,28.5616,-17.8373,10,2.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchuc,28/10/2021,00:54:28,01:54:28,28.5578,-17.8330,12,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchwk,28/10/2021,00:57:16,01:57:16,28.5473,-17.8350,14,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcibd,28/10/2021,01:03:22,02:03:22,28.5497,-17.8293,12,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcioo,28/10/2021,01:19:21,02:19:21,28.5579,-17.8387,11,2.7,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcizz,28/10/2021,01:32:15,02:32:15,28.5594,-17.8379,13,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcjgv,28/10/2021,01:39:36,02:39:36,28.5604,-17.8331,11,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcjip,28/10/2021,01:43:16,02:43:16,28.5501,-17.8493,12,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcjlh,28/10/2021,01:44:48,02:44:48,28.5520,-17.8476,13,3.1,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcjxh,28/10/2021,01:58:47,02:58:47,28.5621,-17.8193,11,3.2,mbLg,,SW VILLA DE MAZO.ILP
es2021vckhe,28/10/2021,02:10:27,03:10:27,28.5586,-17.8316,12,3.4,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcklu,28/10/2021,02:15:42,03:15:42,28.5579,-17.8250,13,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vckto,28/10/2021,02:24:46,03:24:46,28.5620,-17.8170,15,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vclin,28/10/2021,02:42:11,03:42:11,28.5575,-17.8345,10,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vclmr,28/10/2021,02:47:04,03:47:04,28.5633,-17.8395,11,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vclqp,28/10/2021,02:51:36,03:51:36,28.5541,-17.8305,13,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021vclro,28/10/2021,02:52:41,03:52:41,28.5635,-17.8217,11,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcmbx,28/10/2021,03:05:05,04:05:05,28.5694,-17.8235,11,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcmlv,28/10/2021,03:16:45,04:16:45,28.5602,-17.8386,11,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcmqv,28/10/2021,03:22:11,04:22:11,28.5607,-17.8293,10,2.7,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcnak,28/10/2021,03:33:22,04:33:22,28.5620,-17.8287,10,2.5,mbLg,,SW VILLA DE MAZO.ILP
es2021vcnpf,28/10/2021,03:50:37,04:50:37,28.5580,-17.8365,11,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcoao,28/10/2021,04:04:01,05:04:01,28.5562,-17.8315,13,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021vcocf,28/10/2021,04:05:52,05:05:52,28.5577,-17.8515,11,3.2,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcokw,28/10/2021,04:16:04,05:16:04,28.5539,-17.8273,13,3.4,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcomf,28/10/2021,04:17:24,05:17:24,28.5634,-17.8144,11,3.1,mbLg,,SW VILLA DE MAZO.ILP
es2021vcorv,28/10/2021,04:23:56,05:23:56,28.5661,-17.8225,10,2.4,mbLg,,SW VILLA DE MAZO.ILP
es2021vcovd,28/10/2021,04:28:52,05:28:52,28.5625,-17.8235,11,3.4,mbLg,,SW VILLA DE MAZO.ILP
es2021vcppq,28/10/2021,04:51:44,05:51:44,28.5545,-17.8390,10,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcpsz,28/10/2021,04:55:41,05:55:41,28.5627,-17.8212,14,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vcpxg,28/10/2021,05:00:37,06:00:37,28.5579,-17.8396,10,2.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcqle,28/10/2021,05:16:49,06:16:49,28.5632,-17.8476,13,2.7,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcqmx,28/10/2021,05:18:48,06:18:48,28.5603,-17.8236,13,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vcqoc,28/10/2021,05:20:15,06:20:15,28.5674,-17.8355,10,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vcqow,28/10/2021,05:21:05,07:21:05,35.4432,-3.6166,16,2.9,mbLg,,ALBORÁN SUR
es2021vcrar,28/10/2021,05:34:53,06:34:53,28.5627,-17.8368,11,2.7,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcrlv,28/10/2021,05:47:54,06:47:54,28.5604,-17.8519,10,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcrym,28/10/2021,06:02:38,07:02:38,28.5664,-17.8233,11,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcsoc,28/10/2021,06:20:49,07:20:49,28.5572,-17.8547,10,2.7,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcsqt,28/10/2021,06:23:55,07:23:55,28.5537,-17.8437,13,2.7,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcsuh,28/10/2021,06:28:04,07:28:04,28.5698,-17.8359,12,3.2,mbLg,,SW VILLA DE MAZO.ILP
es2021vctaq,28/10/2021,06:35:27,07:35:27,28.5555,-17.8544,11,2.6,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
